[0316/111511.766:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/build/three.js (21172)
[0316/111512.374:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111512.384:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/reseption_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111512.385:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/reseption_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111512.542:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111512.546:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/bed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111512.547:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/bed.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111512.580:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111512.584:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/ot.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111512.584:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/ot.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111512.672:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111512.677:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/projector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111512.677:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/projector.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111518.825:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111518.841:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/doctor.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111518.841:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/doctor.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111520.109:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111520.127:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/technician.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111520.127:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/technician.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111520.186:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111520.204:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/nurse.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111520.204:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/nurse.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111520.300:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/libs/ColladaLoader.js (3660)
[0316/111520.342:INFO:CONSOLE(255)] "Loaded: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/patient_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (255)
[0316/111520.342:INFO:CONSOLE(271)] "load end: file:D:/Universita/Magistrale/Tesi/AnyLogic/anylogic-simulation/3d/patient_2_state_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.4.202503030442/static/init.js (271)
[0316/111710.156:ERROR:gpu_init.cc(523)] Passthrough is not supported, GL is disabled, ANGLE is 
