459.80279300543214Paziente895start operation
508.43969731465694Paziente896start operation
475.23931091359896 Paziente:895start operation
1240.2563372220748 Paziente:896start operation
1939.582367691483 Paziente:897start operation
485.89933630022625 Paziente:895start operation
485.89933630022625 Paziente:895start operation
497.9992822821905 Paziente:895start operation
1271.8770184813877 Paziente:896start operation
233.38121153047985 Paziente:895start operation
196.25412628266704 Paziente:896start operation
99.97082100247904 Paziente:904start operation
99.97082100247904 Paziente:937start operation
91.17945767439136 Paziente:1096start operation
91.17945767439136 Paziente:1096start operation
91.17945767439136 Paziente:1122start operation
84.40602685197463 Paziente:1068start operation
84.40602685197463 Paziente:1068start operation
99.97082100247904 Paziente:1048start operation
99.97082100247904 Paziente:1048start operation
90.89096105466096 Paziente:1034start operation
84.40602685197463 Paziente:1034start operation
99.97082100247904 Paziente:1034start operation
99.97082100247904 Paziente:1034start operation
862.9395148986366 Paziente:1035start operation
90.89096105466096 Paziente:1050start operation
284.6408318436672 Paziente:1051start operation
84.40602685197463 Paziente:1050start operation
84.40602685197463 Paziente:1050start operation
84.40602685197463 Paziente:1050start operation
84.40602685197463 Paziente:1052start operation
84.40602685197463 Paziente:1052start operation
84.40602685197463 Paziente:1029start operation
278.1558976409808 Paziente:1030start operation
72.13826741774612 Paziente:1013start operation
84.40602685197463 Paziente:1013start operation
84.40602685197463 Paziente:1013start operation
84.40602685197463 Paziente:1013start operation
278.1558976409808 Paziente:1014start operation
84.40602685197463 Paziente:1013start operation
278.1558976409808 Paziente:1014start operation
6652.009950955804 Paziente:1015start operation
84.40602685197463 Paziente:1013start operation
278.1558976409808 Paziente:1014start operation
84.40602685197463 Paziente:1013start operation
84.40602685197463 Paziente:1013start operation
84.40602685197463 Paziente:1013start operation
278.1558976409808 Paziente:1014start operation
84.40602685197463 Paziente:1013start operation
80.39104910042111 Paziente:1021start operation
80.39104910042111 Paziente:1021start operation
72.13826741774612 Paziente:1087start operation
282.04742438373125 Paziente:1088start operation
72.13826741774612 Paziente:1117start operation
72.13826741774612 Paziente:1117start operation
61.47824203111883 Paziente:1158start operation
200.86254583734492 Paziente:1159start operation
61.47824203111883 Paziente:1199start operation
61.47824203111883 Paziente:1199start operation
176.81002101047528 Paziente:1200start operation
61.47824203111883 Paziente:1199start operation
61.47824203111883 Paziente:1199start operation
61.47824203111883 Paziente:1199start operation
59.76102375405742 Paziente:1200start operation
904.8123924373452 Paziente:1199start operation
59.76102375405742 Paziente:1200start operation
112.18100233794699 Paziente:1199start operation
112.18100233794699 Paziente:1199start operation
112.18100233794699 Paziente:1199start operation
68.79136332808768 Paziente:1199start operation
68.79136332808768 Paziente:1203start operation
68.79136332808768 Paziente:1203start operation
110.51326145714025 Paziente:1203start operation
110.51326145714025 Paziente:1203start operation
110.51326145714025 Paziente:1203start operation
967.616661069329 Paziente:1204start operation
110.51326145714025 Paziente:1107start operation
110.51326145714025 Paziente:1107start operation
110.51326145714025 Paziente:1107start operation
68.79136332808768 Paziente:1107start operation
147.64839609895012 Paziente:1107start operation
110.51326145714025 Paziente:1107start operation
328.2122052739885 Paziente:1108start operation
82.00179478887436 Paziente:1108start operation
145.19873783638556 Paziente:1157start operation
145.19873783638556 Paziente:1333start operation
375.17624470799785 Paziente:1332start operation
6755.5121485045975 Paziente:1334start operation
145.19873783638556 Paziente:1333start operation
145.19873783638556 Paziente:1333start operation
145.19873783638556 Paziente:1333start operation
365.6280067839573 Paziente:1332start operation
145.19873783638556 Paziente:1333start operation
145.19873783638556 Paziente:1333start operation
161.75954996620447 Paziente:1460start operation
347.161622040761 Paziente:1461start operation
